sku,Description,price
01-SSC-4148,CONTENT FILTERING SERVICE PREMIUM EDITION FOR SUPERMASSIVE 9400 1YR,16407.33
01-SSC-4166,"INTRUSION PREVENTION, ANTI-MALWARE AND APPLICATION CONTROL FOR SUPERMASSIVE 9400 1YR",15039.89
01-SSC-4483,SUPERMASSIVE 9400 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,14442.86
01-SSC-1941,SONICWALL NSA 9250,27195.75
01-SSC-3219,SONICWALL NSA 9250 HIGH AVAILABILITY,22395.00
01-SSC-2854,SONICWALL NSA 9250 TOTALSECURE ADVANCED EDITION 1YR,51995.00
01-SSC-0038,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 9250 1YR,28622.50
01-SSC-0121,CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9250 1YR,9230.76
01-SSC-0331,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9250 1YR,11076.91
01-SSC-0343,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9250 1YR",10153.84
01-SSC-0032,24X7 SUPPORT FOR NSA 9250 1YR,10618.95
01-SSC-0406,HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 9250,11502.50
01-SSC-3810,SONICWALL SUPERMASSIVE 9200,26995.00
01-SSC-3811,SONICWALL SUPERMASSIVE 9200 HIGH AVAILABILITY,18897.00
01-SSC-1717,SONICWALL SUPERMASSIVE 9200 TOTAL SECURE- ADVANCED EDITION 1YR,43732.00
01-SSC-1570,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR SUPERMASSIVE 9200 1YR,32695.50
01-SSC-1575,CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9200 1YR,10546.88
01-SSC-4178,24X7 SUPPORT FOR SUPERMASSIVE 9200 1YR,12129.20
01-SSC-4184,CONTENT FILTERING SERVICE PREMIUM EDITION FOR SUPERMASSIVE 9200 1YR,12656.64
01-SSC-4202,"INTRUSION PREVENTION, ANTI-MALWARE AND APPLICATION CONTROL FOR SUPERMASSIVE 9200 1YR",11601.75
01-SSC-4484,SUPERMASSIVE 9200 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,9627.86
01-SSC-3874,SONICWALL SUPERMASSIVE 9000 SERIES POWER SUPPLY AC FRU    ,850.00
01-SSC-0202,SONICWALL SUPERMASSIVE 9800 SERIES POWER SUPPLY AC FRU ,1895.00
01-SSC-0203,SONICWALL SUPERMASSIVE 9800 SERIES POWER SUPPLY DC FRU    ,2050.00
01-SSC-0204,SONICWALL SUPERMASSIVE 9800 SERIES FAN FRU,200.00
01-SSC-3876,SONICWALL SUPERMASSIVE 9000 SERIES SYSTEM FAN FRU ,175.00
01-SSC-1940,SONICWALL NSA 6650,20055.75
01-SSC-3218,SONICWALL NSA 6650 HIGH AVAILABILITY,16515.00
01-SSC-2209,SONICWALL NSA 6650 TOTALSECURE ADVANCED EDITION 1 YR,38475.00
01-SSC-8761,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 6650 1YR,23424.65
01-SSC-8930,CAPTURE ADVANCED THREAT PROTECTION FOR NSA 6650 1YR,7556.34
01-SSC-8972,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 6650 1YR,9067.61
01-SSC-8979,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 6650 1YR",8311.98
01-SSC-8663,24X7 SUPPORT FOR NSA 6650 1YR,8689.79
01-SSC-9131,COMPREHENSIVE ANTI-SPAM SERVICE FOR NSA 6650 1YR,15112.68
01-SSC-9137,HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 6650,7704.00
01-SSC-4481,SONICWALL NSA 6650 and 6600 EXPANDED LICENSE,1524.22
01-SSC-3820,SONICWALL NSA 6600 ,19995.00
